pair,base,quote,status,last_updated
TFUELUSDC,TFUEL,USDC,BREAK,2025-09-16 14:48:48
TFUELTUSD,TFUEL,TUSD,BREAK,2025-09-16 14:48:48
TFUELPAX,TFUEL,PAX,BREAK,2025-09-16 14:48:48
ONEBNB,ONE,BNB,BREAK,2025-09-16 14:48:48
ONEBTC,ONE,BTC,BREAK,2025-09-16 14:48:48
ONETUSD,ONE,TUSD,BREAK,2025-09-16 14:48:48
ONEPAX,ONE,PAX,BREAK,2025-09-16 14:48:48
ONEUSDC,ONE,USDC,BREAK,2025-09-16 14:48:48
FTMBNB,FTM,BNB,BREAK,2025-09-16 14:48:48
FTMBTC,FTM,BTC,BREAK,2025-09-16 14:48:48
FTMUSDT,FTM,USDT,BREAK,2025-09-16 14:48:48
FTMTUSD,FTM,TUSD,BREAK,2025-09-16 14:48:48
FTMPAX,FTM,PAX,BREAK,2025-09-16 14:48:48
FTMUSDC,FTM,USDC,BREAK,2025-09-16 14:48:48
BTCBBTC,BTCB,BTC,BREAK,2025-09-16 14:48:48
BCPTTUSD,BCPT,TUSD,BREAK,2025-09-16 14:48:48
BCPTPAX,BCPT,PAX,BREAK,2025-09-16 14:48:48
BCPTUSDC,BCPT,USDC,BREAK,2025-09-16 14:48:48
ALGOBNB,ALGO,BNB,BREAK,2025-09-16 14:48:48
ALGOTUSD,ALGO,TUSD,BREAK,2025-09-16 14:48:48
ALGOPAX,ALGO,PAX,BREAK,2025-09-16 14:48:48
USDSBUSDT,USDSB,USDT,BREAK,2025-09-16 14:48:48
USDSBUSDS,USDSB,USDS,BREAK,2025-09-16 14:48:48
GTOUSDT,GTO,USDT,BREAK,2025-09-16 14:48:48
GTOPAX,GTO,PAX,BREAK,2025-09-16 14:48:48
